epoch,loss,val_loss
0,10369.0263671875,920.3905029296875
1,-4994.4375,-8823.3134765625
2,-10431.80859375,-11619.9697265625
3,-12380.68359375,-12958.517578125
4,-13811.44140625,-14288.8310546875
5,-15035.6796875,-15522.2333984375
6,-15970.333984375,-16104.3779296875
7,-16729.201171875,-17088.48046875
8,-17402.416015625,-17023.45703125
9,-17974.64453125,-17802.458984375
10,-18417.623046875,-18564.748046875
11,-18845.48046875,-19091.919921875
12,-19297.240234375,-19345.208984375
13,-19565.923828125,-19965.126953125
14,-19986.8359375,-19729.642578125
15,-19995.232421875,-19907.3203125
16,-20053.771484375,-20046.07421875
17,-20078.376953125,-20577.033203125
18,-20465.833984375,-20758.1796875
19,-20775.111328125,-18440.984375
20,-20975.041015625,-21047.27734375
21,-20820.01953125,-21753.046875
22,-21413.806640625,-20721.251953125
23,-21525.25,-21907.8984375
24,-21457.048828125,-20819.23828125
25,-21286.8359375,-20932.728515625
26,-21695.416015625,-20490.86328125
27,-21948.40234375,-22105.0390625
28,-22271.732421875,-22073.115234375
29,-22440.857421875,-22638.5390625
30,-22549.1640625,-20754.986328125
31,-22470.609375,-22099.87109375
32,-22609.32421875,-22808.1015625
33,-22861.43359375,-22992.6328125
34,-23029.45703125,-22278.9609375
35,-22939.837890625,-23266.40234375
36,-23019.86328125,-22374.43359375
37,-23134.583984375,-23663.517578125
38,-23318.0859375,-23491.6171875
39,-23426.330078125,-23840.453125
40,-23603.130859375,-23959.9765625
41,-23827.0,-23776.625
42,-23822.169921875,-23458.193359375
43,-23752.640625,-23966.826171875
44,-23908.7265625,-23744.67578125
45,-24095.41015625,-23683.509765625
46,-24123.54296875,-23202.166015625
47,-24166.251953125,-24086.46875
48,-24085.912109375,-23658.837890625
49,-24261.701171875,-23457.513671875
50,-24296.6875,-23862.3203125
51,-24420.0859375,-24890.681640625
52,-24542.18359375,-25063.97265625
53,-24595.12109375,-25028.814453125
54,-24828.6015625,-24503.208984375
55,-24969.701171875,-25044.392578125
56,-24880.60546875,-25037.39453125
57,-25086.69140625,-25322.240234375
58,-25331.013671875,-25241.357421875
59,-25434.087890625,-25052.83984375
60,-25202.427734375,-25477.2109375
61,-25315.580078125,-24100.81640625
62,-25160.08984375,-23829.771484375
63,-25338.755859375,-25832.93359375
64,-25339.392578125,-25319.345703125
65,-25263.49609375,-25392.181640625
66,-25497.287109375,-25808.142578125
67,-25843.66015625,-25646.439453125
68,-25739.662109375,-25512.1015625
69,-25804.228515625,-25621.03515625
70,-25670.185546875,-25902.841796875
71,-25601.142578125,-26017.615234375
72,-25918.19921875,-25279.857421875
73,-25906.123046875,-25864.486328125
74,-25449.009765625,-25636.28515625
75,-25938.78515625,-26042.88671875
76,-26204.767578125,-26684.701171875
77,-26322.216796875,-26085.78515625
78,-26160.12890625,-26409.0390625
79,-26293.2421875,-26824.033203125
80,-26349.376953125,-25823.08203125
81,-26510.94921875,-26082.560546875
82,-26374.181640625,-26438.31640625
83,-26641.552734375,-25682.8671875
84,-26446.888671875,-26873.47265625
85,-26590.1171875,-26780.083984375
86,-26762.232421875,-27031.189453125
87,-26667.7421875,-26877.791015625
88,-26637.775390625,-26933.1796875
89,-26666.826171875,-26804.94921875
90,-26493.10546875,-26846.947265625
91,-26571.330078125,-26104.333984375
92,-26818.5234375,-26836.40234375
93,-26690.41796875,-26627.11328125
94,-26719.70703125,-27257.595703125
95,-26763.572265625,-26653.560546875
96,-27032.56640625,-27259.3671875
97,-26804.51953125,-26313.345703125
98,-26585.3515625,-27536.986328125
99,-26779.318359375,-27100.859375
100,-26957.197265625,-26390.361328125
101,-26846.990234375,-26302.26171875
102,-26983.830078125,-26398.978515625
103,-27111.0,-27077.162109375
104,-27241.65625,-26680.689453125
105,-26958.12890625,-25807.96875
106,-27083.91015625,-26583.423828125
107,-26909.720703125,-27242.712890625
108,-27008.177734375,-26193.787109375
109,-27093.4453125,-27252.474609375
110,-27176.287109375,-26764.2578125
111,-27038.76171875,-27667.40625
112,-27166.01953125,-27445.392578125
113,-26941.15234375,-26740.205078125
114,-27106.146484375,-27382.177734375
115,-26928.349609375,-26718.978515625
116,-27231.7421875,-26730.630859375
117,-27144.830078125,-26838.07421875
118,-27481.240234375,-27529.171875
119,-27399.26953125,-27342.3828125
120,-27663.84375,-27588.27734375
121,-27344.1484375,-27402.826171875
122,-27563.07421875,-27147.90625
123,-27394.20703125,-27279.71484375
124,-27600.984375,-27123.708984375
125,-27585.078125,-27561.775390625
126,-27225.333984375,-27571.333984375
127,-27227.0234375,-27915.669921875
128,-27317.5859375,-27484.11328125
129,-27230.4609375,-27302.732421875
130,-27332.966796875,-26700.900390625
131,-27443.9765625,-27681.904296875
132,-27467.353515625,-26756.73046875
133,-27386.9375,-26883.43359375
134,-27356.982421875,-27868.591796875
135,-27361.4921875,-27005.66015625
136,-27614.18359375,-27502.958984375
137,-27634.015625,-27552.919921875
138,-27760.552734375,-27045.083984375
139,-27821.640625,-28023.802734375
140,-27825.326171875,-27804.69140625
141,-27748.81640625,-26751.451171875
142,-27574.255859375,-27836.783203125
143,-27490.462890625,-27592.490234375
144,-27513.693359375,-27392.90234375
145,-27467.705078125,-27447.580078125
146,-27617.38671875,-27686.703125
147,-27528.93359375,-26995.232421875
148,-27250.884765625,-26620.236328125
149,-27680.8125,-28394.498046875
150,-27736.330078125,-27991.5
151,-27901.998046875,-27658.56640625
152,-27894.54296875,-27592.40625
153,-27834.3046875,-27611.607421875
154,-27814.642578125,-27923.62890625
155,-27709.818359375,-27741.12890625
156,-27857.662109375,-27677.474609375
157,-27900.630859375,-27445.9921875
158,-27630.619140625,-28212.12890625
159,-27649.0859375,-28282.3515625
160,-27928.90625,-25177.796875
161,-27807.388671875,-27837.509765625
162,-27898.099609375,-28078.435546875
163,-27807.501953125,-27400.064453125
164,-27726.900390625,-27217.41796875
165,-28016.16015625,-28318.125
166,-27980.232421875,-28341.22265625
167,-28073.240234375,-28369.82421875
168,-28014.578125,-28433.05078125
169,-28007.6328125,-28266.572265625
170,-28104.716796875,-27228.427734375
171,-27937.009765625,-28075.7734375
172,-27952.671875,-27828.271484375
173,-27517.048828125,-26334.689453125
174,-27371.033203125,-27843.98828125
175,-27295.08984375,-28163.765625
