epoch,loss,val_loss
0,10100.466796875,506.17449951171875
1,-5201.77734375,-8772.1376953125
2,-10093.09765625,-11203.880859375
3,-12311.318359375,-13029.79296875
4,-14077.8251953125,-14716.966796875
5,-15393.015625,-15511.484375
6,-16318.162109375,-16649.6171875
7,-16950.251953125,-17300.26171875
8,-17684.54296875,-17156.03515625
9,-18230.494140625,-18589.158203125
10,-18876.6640625,-18296.533203125
11,-19309.37890625,-19608.236328125
12,-19693.708984375,-18994.421875
13,-19773.8359375,-20070.42578125
14,-20154.30078125,-20424.619140625
15,-20387.580078125,-18874.876953125
16,-20366.455078125,-20568.7421875
17,-20721.34765625,-20072.595703125
18,-20951.962890625,-20550.083984375
19,-21306.94140625,-21545.2578125
20,-21484.244140625,-21212.36328125
21,-21368.62109375,-21196.974609375
22,-21672.884765625,-20992.51171875
23,-21867.89453125,-21518.9296875
24,-22004.45703125,-21295.130859375
