epoch,loss,val_loss
0,9626.9453125,321.8427734375
1,-5512.28662109375,-9134.107421875
2,-10898.2333984375,-12236.0986328125
3,-13309.7021484375,-14095.5927734375
4,-14933.3876953125,-15605.58984375
5,-15952.9248046875,-16086.802734375
6,-16771.861328125,-17013.86328125
7,-17594.86328125,-17719.515625
8,-17848.302734375,-18027.443359375
9,-18138.076171875,-17480.19921875
10,-18625.02734375,-18379.32421875
11,-19013.2890625,-18842.1328125
12,-19335.609375,-19674.427734375
13,-19597.98046875,-19607.181640625
14,-19951.8515625,-19975.748046875
15,-20234.19140625,-19986.072265625
16,-20394.40234375,-20613.94921875
