epoch,loss,val_loss
0,10928.4794921875,2228.92138671875
1,-2529.5341796875,-5967.37939453125
2,-3997.75439453125,-5608.16943359375
3,-7449.208984375,-8197.578125
4,-7657.63720703125,-8024.02880859375
5,-8606.4462890625,-9474.322265625
6,-7324.50830078125,-8689.8037109375
7,-9629.0771484375,-10528.0986328125
8,-9938.1201171875,-8576.048828125
9,-9807.9150390625,-11260.5361328125
10,-11212.7001953125,-11766.0244140625
11,-11308.46484375,-6635.0712890625
12,-11303.53515625,-11564.14453125
13,-11491.4248046875,-11450.4677734375
14,-10361.58984375,-10917.310546875
15,-10999.0517578125,-9510.9609375
