epoch,loss,val_loss
0,-23240.091796875,92960.21875
1,-23469.630859375,91751.0234375
2,-22987.28515625,93849.84375
3,-22862.513671875,93337.5078125
4,-22453.123046875,93542.1796875
5,-23058.052734375,92109.4921875
6,-22205.509765625,91105.375
7,-22672.2734375,88901.0546875
8,-23076.984375,92472.7890625
9,-23472.1015625,91432.8671875
10,-23580.638671875,94979.109375
11,-23116.740234375,94164.015625
12,-22955.640625,85137.9765625
13,-23095.431640625,79577.484375
14,-22899.36328125,85401.9375
15,-22842.1484375,85673.5703125
16,-22513.8203125,83987.2421875
17,-22485.095703125,88264.265625
18,-21969.455078125,85088.046875
19,-22753.537109375,79167.546875
20,-22943.162109375,80438.484375
21,-23199.029296875,85597.4453125
22,-22922.49609375,86573.015625
23,-22529.6015625,90516.0625
24,-22045.904296875,89251.5390625
25,-21895.26171875,91785.078125
26,-22274.255859375,95754.6171875
