epoch,loss,val_loss
0,10856.4619140625,2146.93017578125
1,-4288.732421875,-8565.4296875
2,-10398.66015625,-11673.4033203125
3,-12688.69140625,-13494.8759765625
4,-14370.5556640625,-14980.158203125
5,-15451.8330078125,-15641.6376953125
6,-16253.8544921875,-16347.28125
7,-17031.2578125,-17246.361328125
8,-17689.66015625,-17185.62109375
9,-18318.67578125,-18509.380859375
10,-18819.150390625,-18661.548828125
11,-19234.884765625,-19105.328125
12,-19671.443359375,-19503.423828125
13,-19974.0625,-19596.32421875
14,-20256.986328125,-20470.57421875
15,-20313.232421875,-19342.958984375
16,-20485.837890625,-20837.384765625
17,-20719.66796875,-20847.44921875
18,-20960.1796875,-20748.48828125
19,-20886.1328125,-21024.859375
20,-21070.142578125,-20614.474609375
21,-21237.908203125,-21252.650390625
22,-21486.279296875,-21828.041015625
23,-21606.3359375,-20759.244140625
24,-21451.234375,-21399.265625
25,-21692.76953125,-21159.34765625
26,-21664.041015625,-22067.291015625
27,-21914.48046875,-21737.93359375
28,-22175.25390625,-22464.720703125
29,-22269.701171875,-21224.666015625
30,-22215.310546875,-22315.19140625
31,-22336.767578125,-22734.3828125
32,-22563.876953125,-21822.861328125
33,-22609.576171875,-23012.103515625
34,-22779.990234375,-21144.6875
35,-22848.896484375,-23081.166015625
36,-22628.53125,-22204.505859375
37,-22938.41015625,-23253.677734375
38,-23176.474609375,-21870.66796875
39,-23049.060546875,-21678.703125
40,-22681.296875,-22406.490234375
41,-22968.064453125,-23184.294921875
42,-23050.95703125,-23541.12109375
43,-23082.775390625,-22730.33984375
44,-23148.87109375,-23571.73828125
45,-23391.646484375,-22214.4375
46,-23281.046875,-23707.408203125
47,-23551.3046875,-23749.38671875
48,-23898.5390625,-23229.587890625
49,-23764.8046875,-23008.927734375
50,-23805.0,-23810.25390625
51,-23954.525390625,-23469.732421875
52,-23891.09765625,-23644.798828125
53,-23986.576171875,-24285.408203125
54,-23797.71484375,-23527.064453125
55,-23920.390625,-24170.52734375
56,-24004.58203125,-23078.958984375
57,-23819.64453125,-24219.642578125
58,-24190.134765625,-24847.27734375
59,-24158.513671875,-24438.74609375
60,-24468.126953125,-23825.849609375
61,-24455.19140625,-24575.732421875
62,-24504.412109375,-24821.359375
63,-24833.013671875,-25188.970703125
64,-24989.810546875,-24560.74609375
65,-25013.263671875,-25094.169921875
66,-24784.71875,-24622.69921875
67,-24936.69140625,-24036.541015625
68,-25002.31640625,-25217.482421875
69,-25034.314453125,-25512.3671875
70,-25046.74609375,-24779.5078125
71,-25169.169921875,-25386.08984375
72,-25494.33203125,-25696.82421875
73,-25637.892578125,-25485.00390625
74,-25440.361328125,-25304.470703125
75,-25670.337890625,-24535.044921875
76,-25873.068359375,-25003.552734375
77,-25686.205078125,-25584.421875
78,-25536.03125,-26145.38671875
79,-25475.619140625,-25930.73828125
80,-25497.501953125,-24627.61328125
81,-25549.423828125,-26431.669921875
82,-25752.861328125,-24734.423828125
83,-26074.888671875,-26078.794921875
84,-26075.357421875,-25760.515625
85,-25861.8671875,-20918.31640625
86,-25723.3046875,-23970.259765625
87,-25700.76953125,-25581.826171875
88,-25907.4375,-25923.490234375
89,-25965.306640625,-26821.83203125
90,-26050.443359375,-24837.857421875
91,-25984.01953125,-25776.490234375
92,-26156.74609375,-25206.681640625
93,-26249.72265625,-26474.5078125
94,-26485.708984375,-25272.765625
95,-26347.0703125,-26752.302734375
96,-26344.205078125,-24663.6796875
97,-26347.236328125,-26604.4296875
98,-26455.736328125,-26699.66796875
99,-26628.671875,-26651.884765625
100,-26660.189453125,-26492.59375
101,-26662.0,-26359.861328125
102,-26665.240234375,-26391.1953125
103,-26469.20703125,-26926.443359375
104,-26555.853515625,-26756.3203125
105,-26979.037109375,-26500.36328125
106,-27129.486328125,-27277.40234375
107,-26997.0234375,-27553.8671875
108,-26592.587890625,-25529.216796875
109,-26910.662109375,-27419.826171875
110,-27036.98828125,-27531.25390625
111,-27176.935546875,-27341.68359375
112,-27347.3515625,-27423.08984375
113,-27376.89453125,-27723.55859375
114,-27247.240234375,-27697.251953125
115,-27385.8203125,-27252.056640625
116,-27469.953125,-25957.95703125
117,-27347.33984375,-24275.91796875
118,-27368.5859375,-27689.484375
119,-27565.615234375,-27297.212890625
120,-27470.2421875,-26785.986328125
121,-27461.255859375,-27099.71484375
122,-27385.326171875,-26998.828125
123,-27223.560546875,-26493.095703125
124,-27508.919921875,-27598.154296875
125,-27546.458984375,-26274.1171875
126,-27370.369140625,-25854.599609375
127,-27133.296875,-27997.119140625
128,-27642.166015625,-26103.384765625
129,-27416.001953125,-28036.197265625
130,-27395.322265625,-27190.279296875
131,-27432.0390625,-27462.646484375
132,-27050.27734375,-27111.53125
133,-27464.224609375,-25735.05859375
134,-27626.32421875,-27803.037109375
135,-27797.92578125,-28372.921875
136,-27702.953125,-26607.205078125
137,-27624.185546875,-24098.67578125
138,-27481.71875,-27623.337890625
139,-27600.681640625,-27181.369140625
140,-27766.5,-28112.4375
141,-27690.05859375,-27523.09765625
142,-27887.134765625,-27177.580078125
143,-27596.642578125,-26484.48046875
144,-27736.517578125,-27094.3203125
145,-27745.00390625,-28241.44140625
146,-27922.251953125,-28533.900390625
147,-27919.34375,-27881.560546875
148,-27905.126953125,-27410.87109375
149,-27628.0625,-28171.392578125
150,-27723.23828125,-27075.5
151,-27842.9296875,-27755.884765625
152,-27630.546875,-27062.04296875
153,-27786.212890625,-26836.923828125
154,-27778.14453125,-26795.21875
155,-27644.126953125,-26972.771484375
156,-27897.779296875,-28301.193359375
157,-27655.896484375,-27264.203125
158,-27638.8359375,-28384.603515625
159,-27989.15625,-27417.783203125
160,-27920.673828125,-27463.212890625
161,-27902.2421875,-28863.48046875
162,-28057.646484375,-28291.033203125
163,-27965.162109375,-26691.55859375
164,-27749.91015625,-27638.3046875
165,-28067.921875,-28060.255859375
166,-28067.927734375,-27878.01953125
167,-28285.1015625,-27765.287109375
168,-28148.71484375,-28216.306640625
169,-28254.375,-28040.61328125
170,-27970.17578125,-27552.44140625
171,-27805.453125,-27152.037109375
172,-27657.689453125,-28096.58984375
173,-28191.587890625,-27704.013671875
174,-28127.005859375,-28367.623046875
175,-28137.306640625,-28078.9453125
176,-28080.189453125,-28544.193359375
177,-27971.23828125,-27349.5078125
178,-27950.939453125,-28108.83203125
179,-28315.705078125,-28209.2421875
180,-27938.9296875,-27729.71875
181,-28124.291015625,-27996.388671875
182,-28185.6875,-27994.544921875
183,-28232.037109375,-28294.685546875
184,-27968.046875,-28528.30859375
185,-28138.814453125,-28492.83984375
186,-28091.103515625,-27276.28125
187,-28036.78125,-27648.4921875
188,-28338.703125,-28245.25390625
189,-28175.283203125,-27344.921875
190,-28147.11328125,-27514.9296875
191,-28079.046875,-28506.970703125
192,-28346.943359375,-28354.8828125
193,-28525.201171875,-27905.662109375
194,-28637.724609375,-27683.521484375
195,-28314.60546875,-27308.62890625
196,-28080.0078125,-28288.2578125
197,-28278.98828125,-28418.9765625
198,-28161.5625,-27778.08984375
199,-28455.5625,-27343.947265625
200,-28515.8359375,-28625.23046875
201,-28204.123046875,-27812.91015625
202,-28469.43359375,-28861.478515625
203,-28320.78515625,-28532.275390625
204,-28587.0859375,-29122.63671875
205,-28650.095703125,-28219.904296875
206,-28591.25,-28201.23046875
207,-28403.439453125,-27733.869140625
208,-28509.0859375,-28981.01171875
209,-28673.423828125,-27722.796875
210,-28616.763671875,-28275.78125
211,-28380.822265625,-28039.572265625
212,-28269.05078125,-27338.44921875
213,-28481.126953125,-28708.25390625
214,-28182.2734375,-28171.109375
215,-28365.01171875,-29355.919921875
216,-28675.69140625,-28527.244140625
217,-28790.1796875,-29055.515625
218,-28608.6953125,-28287.29296875
219,-28573.763671875,-28422.916015625
220,-28679.24609375,-28309.734375
221,-28859.205078125,-28786.26953125
222,-28807.740234375,-29152.345703125
223,-28789.27734375,-29041.544921875
224,-28689.53515625,-28127.3046875
225,-28559.439453125,-28150.05859375
226,-28685.623046875,-29249.748046875
227,-28675.771484375,-28779.55859375
228,-28837.388671875,-27527.849609375
229,-28834.763671875,-28311.46484375
230,-28784.2265625,-28136.728515625
231,-28500.78125,-28016.287109375
232,-28735.302734375,-29262.310546875
233,-28920.75390625,-29030.408203125
234,-28867.0,-28516.51171875
235,-28574.25,-28592.9921875
236,-28869.333984375,-28905.52734375
237,-28925.744140625,-29060.71875
238,-28780.7109375,-29012.640625
239,-28785.583984375,-27752.869140625
240,-28987.890625,-29351.197265625
241,-28808.0703125,-29125.576171875
242,-28680.85546875,-28275.947265625
243,-28730.1484375,-29201.59765625
244,-28911.912109375,-29149.7109375
245,-28639.048828125,-28283.28515625
246,-28513.34765625,-26908.359375
247,-28770.57421875,-28418.77734375
248,-28637.890625,-26288.30859375
249,-28555.9609375,-28189.96875
250,-28884.482421875,-29101.4453125
251,-29045.580078125,-29112.28515625
252,-28506.802734375,-28778.162109375
